NU_IDADE,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_ENSINO,TP_ESCOLA,TP_LOCALIZACAO_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q001,Q002,Q005,Q006,Q008,Q009,Q010,Q011,Q022,Q024,MEDIA_NOTAS,Q025
17,M,1,2,1,2,1,411.1,528.2,514,637.4,700,E,F,5,B,C,D,A,B,D,B,558.14,B
17,F,1,3,1,2,1,467.6,547.1,546.1,518.9,540,B,E,4,C,B,C,A,B,C,A,523.94,B
18,F,2,2,1,2,1,433.9,445.3,479.1,422.5,300,B,B,4,B,B,B,A,A,B,A,416.16,B
18,F,1,1,1,2,1,380.9,478.6,504.5,440.4,600,C,H,3,B,B,D,A,A,D,A,480.88,B
17,F,1,3,1,2,,455.2,450.5,522.6,491.3,680,B,E,5,A,B,C,A,B,D,B,519.92,B
21,F,2,3,1,2,,399.4,459.5,366.7,439.8,300,A,A,5,A,B,C,A,B,C,A,393.08,A
17,F,1,1,1,2,1,452.9,487.2,555.4,576.4,620,B,E,4,C,B,C,A,B,D,A,538.38,B
19,F,1,1,1,2,,422.6,390.5,384.3,414.9,120,B,B,6,A,B,C,A,A,C,A,346.46,A
18,F,1,3,1,2,1,465.8,571.6,522.8,567.9,600,C,D,5,B,B,D,A,B,D,A,545.62,A
18,M,1,3,1,2,1,395.2,564.3,477.5,623,620,B,B,5,B,B,C,A,A,B,A,536,A
17,F,1,3,1,2,1,388.3,457.4,462.4,424.9,700,C,B,5,A,C,C,A,A,D,A,486.6,B
17,M,1,1,1,2,1,402.9,384.9,474.3,409,720,B,E,3,A,B,C,A,A,B,A,478.22,B
17,F,1,3,1,2,1,604,599.2,604.1,450.7,680,D,D,4,C,B,D,A,B,C,A,587.6,B
17,M,1,3,1,2,1,653,709.3,639.6,765.8,780,E,E,2,B,B,C,B,A,C,B,709.54,B
16,F,1,3,1,2,1,542.5,554.8,561.2,611.4,620,E,E,4,C,B,C,A,B,B,B,577.98,B
18,F,1,3,1,2,1,373.9,369.4,394.8,368.1,520,B,B,4,A,B,C,A,A,B,A,405.24,B
